Wardle J,From the Thames to the Tiberor My visit to Paris Rome Florence Venice Milan Switzerland etc,http://www.gutenberg.org/etext/38183
Pennell Elizabeth Robins 18551936,NightsRome Venice in the Aesthetic Eighties London Paris in the Fighting Nineties,http://www.gutenberg.org/etext/24452
Gleig G R 17961888 George Robert,Germany Bohemia and Hungary Visited in 1837 Vol II,http://www.gutenberg.org/etext/24419
Graham Stephen 18841975,EuropeWhither BoundBeing Letters of Travel from the Capitals of Europe in the Year 1921,http://www.gutenberg.org/etext/21499
Bates Katharine Lee 18591929,Spanish Highways and Byways,http://www.gutenberg.org/etext/38767
Westerman Percy F 18761959 Percy Francis,The Quest of the Golden HopeA Seventeenth Century Story of Adventure,http://www.gutenberg.org/etext/38222
Lucas E V 18681938 Edward Verrall,A Wanderer in Paris,http://www.gutenberg.org/etext/37937
Butterworth Hezekiah 18391905,The Story of Magellan and The Discovery of the Philippines,http://www.gutenberg.org/etext/37814
Lawrence D H 18851930 David Herbert,Sea and Sardinia,http://www.gutenberg.org/etext/37206
Pfeiffer Ida 17971858,A Womans Journey Round the WorldFrom Vienna to Brazil Chili Tahiti China Hindostan Persia and Asia Minor,http://www.gutenberg.org/etext/11039
Cook James 17281779,A Voyage Towards the South Pole and Round the World Volume 1,http://www.gutenberg.org/etext/15777
Twain Mark 18351910,Roughing It,http://www.gutenberg.org/etext/3177
Greenwood Grace 18231904,Queen Victoria her girlhood and womanhood,http://www.gutenberg.org/etext/6469
Fox Charles James 17491806,A History of the Early Part of the Reign of James the Second,http://www.gutenberg.org/etext/4245
McCarthy Justin 18301912,A History of the Four Georges Volume I,http://www.gutenberg.org/etext/23469
Victoria Queen of Great Britain 18191901,The Letters of Queen Victoria  A Selection from Her Majestys Correspondence between the Years 1837 and 1861Volume 1 18371843,http://www.gutenberg.org/etext/20023
Keeling Annie E,Great Britain and Her Queen,http://www.gutenberg.org/etext/13103
Adams George Burton 18511925,The History of England from the Norman Conquest to the Death of John 10661216,http://www.gutenberg.org/etext/8556
Tytler Sarah 18271914,Life of Her Most Gracious Majesty the Queen  Volume 1,http://www.gutenberg.org/etext/6910
Green John Richard 18371883,History of the English People Volume VIPuritan England 16421660 The Revolution 16601683,http://www.gutenberg.org/etext/24254
Holinshed Raphael 1580,Chronicles 1 of 6 The Historie of England 7 of 8The Seventh Boke of the Historie of England,http://www.gutenberg.org/etext/16617
Holinshed Raphael 1580,Chronicles 1 of 6 The Historie of England 5 of 8The Fift Booke of the Historie of England,http://www.gutenberg.org/etext/16555
Holinshed Raphael 1580,Chronicles 1 of 6 The Historie of England 4 of 8The Fovrth Booke Of The Historie Of England,http://www.gutenberg.org/etext/16536
Macaulay Thomas Babington Macaulay Baron 18001859,The History of England from the Accession of James II Volume 1 Chapter 02,http://www.gutenberg.org/etext/20274
Holinshed Raphael 1580,Chronicles of England Scotland and Ireland 2 of 6 England 3 of 12Henrie I,http://www.gutenberg.org/etext/16749
Macaulay Thomas Babington Macaulay Baron 18001859,The History of England from the Accession of James II  Volume 5,http://www.gutenberg.org/etext/2614
Macaulay Thomas Babington Macaulay Baron 18001859,The History of England from the Accession of James II  Volume 3,http://www.gutenberg.org/etext/2612
Belloc Hilaire 18701953,The Historic Thames,http://www.gutenberg.org/etext/13046
Home Gordon 18781969,Beautiful BritainCambridge,http://www.gutenberg.org/etext/12857
Geikie John Cunningham 18241906,Hammersmith Fulham and PutneyThe Fascination of London,http://www.gutenberg.org/etext/20310
Tomlinson H M 18731958 Henry Major,London River,http://www.gutenberg.org/etext/15167
Boswell James 17401795,Life of Johnson Volume 5Tour to the Hebrides 1773 and Journey into North Wales 1774,http://www.gutenberg.org/etext/10451
Sharpe Reginald R 18481925 Reginald Robinson,London and the Kingdom  Volume I,http://www.gutenberg.org/etext/19800
Tolstoy Leo graf 18281910,,http://www.gutenberg.org/etext/1938
Ruskin John 18191900,The Harbours of England,http://www.gutenberg.org/etext/21591
Eley C King,Bells Cathedrals The Cathedral Church of CarlisleA Description of Its Fabric and A Brief History of the Episcopal See,http://www.gutenberg.org/etext/19881
Perkins Thomas Rev 18421907,Bells Cathedrals A Short Account of Romsey AbbeyA Description of the Fabric and Notes on the History of the Convent of SS Mary and Ethelfleda,http://www.gutenberg.org/etext/22880
Addleshaw Percy 18661916,Bells Cathedrals The Cathedral Church of ExeterA Description of Its Fabric and a Brief History of the Episcopal See,http://www.gutenberg.org/etext/19424
Laski Harold Joseph 18931950,Political Thought in England from Locke to Bentham,http://www.gutenberg.org/etext/14735
Fisher Joseph FRHS,Landholding in England,http://www.gutenberg.org/etext/3799
Babbage Charles 17911871,Reflections on the Decline of Science in England and on Some of Its Causes,http://www.gutenberg.org/etext/1216
Tyler James Endell 17891851,Henry of MonmouthOr Memoirs of the Life and Character of Henry the Fifth as Prince of Wales and King of EnglandVolume 1,http://www.gutenberg.org/etext/20488
Strachey Lytton 18801932,Queen Victoria,http://www.gutenberg.org/etext/1265
Hume David 17111776,The History of England in Three Volumes VolI Part EFrom Charles I to Cromwell,http://www.gutenberg.org/etext/19215
Hume David 17111776,The History of England in Three Volumes VolI Part BFrom Henry III to Richard III,http://www.gutenberg.org/etext/19212
Holinshed Raphael 1580,Chronicles 1 of 6 The Historie of England 1 of 8From the Time That It Was First Inhabited Vntill the Time That It Was Last Conquered Wherein the Sundrie Alterations of the State Vnder Forren People Is Declared And Other Manifold Observations Remembred,http://www.gutenberg.org/etext/16496
Holinshed Raphael 1580,Chronicles 1 of 6 The Historie of England 2 of 8The Second Booke Of The Historie Of England,http://www.gutenberg.org/etext/13624
Holinshed Raphael 1580,Chronicles of England Scotland and Ireland 2 of 6 England 4 of 12Stephan Earle Of Bullongne,http://www.gutenberg.org/etext/16760
Holinshed Raphael 1580,Chronicles of England Scotland and Ireland 2 of 6England 1 of 12 William the Conqueror,http://www.gutenberg.org/etext/16738
Macaulay Thomas Babington Macaulay Baron 18001859,The History of England from the Accession of James II  Volume 1,http://www.gutenberg.org/etext/1468
Macaulay Thomas Babington Macaulay Baron 18001859,The History of England from the Accession ofJames II vol1 chapter 05,http://www.gutenberg.org/etext/20277
Macaulay Thomas Babington Macaulay Baron 18001859,The History of England from the Accession of James II Volume 1 Chapter 04,http://www.gutenberg.org/etext/20276
Macaulay Thomas Babington Macaulay Baron 18001859,The History of England from the Accession ofJames II vol1 chapter 03,http://www.gutenberg.org/etext/20275
Yonge Charles Duke 18121891,The Constitutional History of England from 1760 to 1860,http://www.gutenberg.org/etext/10807
Pollard A F 18691948 Albert Frederick,The History of England  a Study in Political Evolution,http://www.gutenberg.org/etext/6358
Cheyney Edward Potts 18611947,An Introduction to the Industrial and Social History of England,http://www.gutenberg.org/etext/21660
Showell Walter 18361901,Showells Dictionary of BirminghamA History and Guide Arranged Alphabetically,http://www.gutenberg.org/etext/14472
Anderton Thomas 18361903,A Tale of One City the New BirminghamPapers Reprinted from the quotMidland Counties Heraldquot,http://www.gutenberg.org/etext/11356
Mitton G E Geraldine Edith,Holborn and BloomsburyThe Fascination of London,http://www.gutenberg.org/etext/21411
Sharpe Reginald R 18481925 Reginald Robinson,London and the Kingdom  Volume II,http://www.gutenberg.org/etext/20990
Johnson Samuel 17091784,A Journey to the Western Islands of Scotland,http://www.gutenberg.org/etext/2064
Adams Joseph Quincy 18811946,Shakespearean PlayhousesA History of English Theatres from the Beginnings to the Restoration,http://www.gutenberg.org/etext/22397
Bygate Joseph E,Bells Cathedrals The Cathedral Church of DurhamA Description of Its Fabric and A Brief History of the Espiscopal See,http://www.gutenberg.org/etext/20191
Quennell C H B 18721935 Charles Henry Bourne,Bells Cathedrals The Cathedral Church of NorwichA Description of Its Fabric and A Brief History of the Episcopal See,http://www.gutenberg.org/etext/19715
Perkins Thomas Rev 18421907,Bells Cathedrals Wimborne Minster and Christchurch PrioryA Short History of Their Foundation and a Description of Their Buildings,http://www.gutenberg.org/etext/19511
Home Gordon 18781969,What to See in EnglandA Guide to Places of Historic Interest Natural Beauty or Literary Association,http://www.gutenberg.org/etext/11642
Nicholls H G 18251867 Henry George,The Forest of Dean An Historical and Descriptive Account,http://www.gutenberg.org/etext/24505
United States,Amendments to the United States Constitution,http://www.gutenberg.org/etext/19582
Maupassant Guy de 18501893,Original Short Stories  Volume 09,http://www.gutenberg.org/etext/3085
Earle Alice Morse 18511911,Home Life in Colonial Days,http://www.gutenberg.org/etext/22675
Loubat J F 18311927 Joseph Florimond,The Medallic History of the United States of America 17761876,http://www.gutenberg.org/etext/21880
Ryerson Egerton 18031882,The Loyalists of America and Their Times Vol 1 of 2From 16201816,http://www.gutenberg.org/etext/21012
Unknown,Narratives of New Netherland 16091664,http://www.gutenberg.org/etext/2128
Daughters of the American Revolution Nebraska,Collection of Nebraska Pioneer Reminiscences,http://www.gutenberg.org/etext/34844
Lippitt Francis J 18121902 Francis James,A Treatise on the Tactical Use of the Three Arms Infantry Artillery and Cavalry,http://www.gutenberg.org/etext/24765
Shirley Dame 18191906,The Shirley Letters from California Mines in 185152,http://www.gutenberg.org/etext/23280
Power Tyrone 17971841,Impressions of AmericaDuring the years 1833 1834 and 1835 In Two Volumes Volume I,http://www.gutenberg.org/etext/22796
Becker Carl L 18731945 Carl Lotus,The Eve of the Revolution A Chronicle of the Breach with England,http://www.gutenberg.org/etext/3093
Ogg Frederic Austin 18781951,The Old Northwest A Chronicle of the Ohio Valley and Beyond,http://www.gutenberg.org/etext/3014
Fish Carl Russell 18761932,The Path of Empire A Chronicle of the United States as a World Power,http://www.gutenberg.org/etext/3157
Buck Solon J 18841962 Solon Justus,The Agrarian Crusade A Chronicle of the Farmer in Politics,http://www.gutenberg.org/etext/2899
United States,The Declaration of Independence of The United States of America,http://www.gutenberg.org/etext/16780
United States,Amendments to the United States Constitution,http://www.gutenberg.org/etext/19581
Beck James M 18611936 James Montgomery,The Constitution of the United StatesA Brief Study of the Genesis Formulation and Political Philosophy of the Constitution,http://www.gutenberg.org/etext/10065
Madison James 17511836,The Federalist Papers,http://www.gutenberg.org/etext/1404
Young Andrew W 18021877 Andrew White,The Government Class BookDesigned for the Instruction of Youth in the Principlesof Constitutional Government and the Rights and Duties ofCitizens,http://www.gutenberg.org/etext/15319
Pierson Charles W 18641934 Charles Wheeler,Our Changing Constitution,http://www.gutenberg.org/etext/14104
Root Elihu 18451937,Experiments in Government and the Essentials of the Constitution,http://www.gutenberg.org/etext/10485
Andrews Elisha Benjamin 18441917,History of the United States Volume 3,http://www.gutenberg.org/etext/23748
Andrews Elisha Benjamin 18441917,History of the United States Volume 5,http://www.gutenberg.org/etext/22777
