,first,second,preferred,
117,francis rabelais,franois rabelais,francois rabelais,
118,f franz liszt,franz liszt,franz liszt,
119,frederick augustus washington bailey,frederick augustus washington baly,frederick douglass,
120,frederic s frederic stewart isham,frederick s frederick stewart isham,frederick stewart isham,
121,frederick spencer hamilton,frederick spenser hamilton,frederick spenser hamilton,
122,frederic william farrar,frederick william farrar,frederic william farrar,
123,frederick pohl,frederik pohl,frederik pohl,
124,f friedrich bente,friedrich bente,friedrich bente,
125,f friedrich bente,friedrich bente,friedrich bente,
126,friedrich heinrich karl mottefouque,friedrich heinrich karl mottefouqu,friedrich heinrich karl,
127,friedrich heinrich karl mottefouque,friedrich heinrich karl mottefouqu,friedrich heinrich karl,
128,friedrich heinrich karl mottefouqu,friedrich heinrich karl mottefouque,friedrich heinrich karl,
129,friedrich heinrich karl mottefouqu,friedrich heinrich karl mottefouque,friedrich heinrich karl,
130,friedrich heinrich karl mottefouqu,friedrich heinrich karl mottefouque,friedrich heinrich karl,
131,firth scott,g firth scott,firth scott,
132,george farquhar,g george farquhar,george farquhar,
133,g l vandenberg,g l vandenburg,g l vandenberg,
134,jeffrey chaucer,geoffrey chaucer,geoffrey chaucer,
135,george berkley,george berkeley,george berkeley,
136,george berkeley,george berkley,george berkeley,
137,g george farquhar,george farquhar,george farquhar,
138,george gilbert aim murray,george gilbert aime murray,george gilbert aime murray,
139,george gordon nol byron byron,george gordon noel byron byron,lord byron,
140,george gordon nol byron byron,george gordon noel byron byron,lord byron,
141,george muller,george mller,george muller,
142,george mller,george muller,george muller,
143,george mller,george muller,george muller,
144,gustav freytag,gustav freitag,gustav Freytag,
145,gustav kobbe,gustav kobb,gustav kobb,
146,gustav kobb,gustav kobbe,gustav kobb,
147,burford delannoy,h burford delannoy,burford delannoy,
150,hlne adeline guerber,helene adeline guerber,helene adeline guerber,
151,h henri bergson,henri bergson,henri bergson,
152,harry castlemon,henry castlemon,harry castlemon,
153,harry castlemon,henry castlemon,harry castlemon,
154,harry castlemon,henry castlemon,harry castlemon,
155,h henry hunt,henry hunt,henry hunt,
156,henry c wood,henry wood,henry wood,
157,herman melville,hermann melville,herman melville,
158,herman melville,hermann melville,herman melville,
159,herman melville,hermann melville,herman melville,
160,herman melville,hermann melville,herman melville,
161,herman melville,hermann melville,herman melville,
162,herman sudermann,hermann sudermann,hermann sudermann,
163,herman sudermann,hermann sudermann,hermann sudermann,
164,hildegard g frey,hildegarde g frey,hildegard g frey,
165,homer eon flindt,homer eon flint,homer eon flint,
166,honore de balzac,honor de balzac,honore de balzac,
167,honore de balzac,honor de balzac,honore de balzac,
168,honore de balzac,honor de balzac,honore de balzac,
169,honore de balzac,honor de balzac,honore de balzac,
170,honore de balzac,honor de balzac,honore de balzac,
171,honore de balzac,honor de balzac,honore de balzac,
172,honore de balzac,honor de balzac,honore de balzac,
173,honore de balzac,honor de balzac,honore de balzac,
174,honore de balzac,honor de balzac,honore de balzac,
175,honore de balzac,honor de balzac,honore de balzac,
176,honore de balzac,honor de balzac,honore de balzac,
177,honore de balzac,honor de balzac,honore de balzac,
178,honore de balzac,honor de balzac,honore de balzac,
179,honor de balzac,honore de balzac,honore de balzac,
180,honor de balzac,honore de balzac,honore de balzac,
181,honor de balzac,honore de balzac,honore de balzac,
182,honor de balzac,honore de balzac,honore de balzac,
183,honor de balzac,honore de balzac,honore de balzac,
184,honor de balzac,honore de balzac,honore de balzac,
185,honor de balzac,honore de balzac,honore de balzac,
186,honor de balzac,honore de balzac,honore de balzac,
187,honor de balzac,honore de balzac,honore de balzac,
188,honor de balzac,honore de balzac,honore de balzac,
189,honor de balzac,honore de balzac,honore de balzac,
190,honor de balzac,honore de balzac,honore de balzac,
191,honor de balzac,honore de balzac,honore de balzac,
192,emmanuel kant,immanuel kant,immanuel kant,
193,i isaac disraeli,isaac disraeli,isaac disraeli,
194,i isaac watts,isaac watts,isaac watts,
195,i israel zangwill,israel zangwill,israel zangwill,
196,john ruskin,j john ruskin,john ruskin,
197,jonathan swift,j jonathan swift,jonathan swift,
198,jonathan swift,j jonathan swift,jonathan swift,
