,author,contribution
7044,john_g_john_greenleaf_whittier,0.0724398522606
11834,walter_andrew_lang,0.0722455504761
7492,joseph_conrad,0.0715862837017
4704,george_saintsbury,0.0707582710285
9969,randall_parrish,0.0704504643632
5787,homer,0.0704049241107
3423,emily_sarah_holt,0.069976569137
2979,edward_henry_nolan,0.0696082462924
2859,edmund_burke,0.0694802692921
9011,miguel_de_cervantes_saavedra,0.0694445779836
5618,henry_rider_haggard,0.0693416629402
11106,theodore_dreiser,0.0690823107083
3039,edward_payson_roe,0.0689036763513
11547,victor_appleton,0.0688820620189
10972,susan_warner,0.0687071222507
614,amelia_e_barr,0.068172859024
6441,james_fenimore_cooper,0.0670649861875
4312,friedrich_schiller,0.0667286600625
7817,klara_mundt,0.0662082268473
8204,louisa_may_alcott,0.0656137931915
11462,ulysses_s_ulysses_simpson_grant,0.0650098958564
6994,john_dryden,0.0648593067872
4919,gordon_holmes,0.0645919430272
3807,flora_annie_webster_steel,0.0645627814599
4685,george_payne_rainsford_james,0.0645564591688
8183,louis_joseph_vance,0.064403183126
11545,vicente_blasco_ibanez,0.0642437724851
4313,friedrich_spielhagen,0.0639187573339
9649,pelham_grenville_wodehouse,0.0626561760605
12396,william_morris,0.0626362114509
10341,robert_w_robert_william_chambers,0.0626361818151
2805,edgar_thurston,0.0625955117024
5297,harry_leon_wilson,0.0625682369438
6051,j_a_james_anthony_froude,0.0623180026411
12540,william_wordsworth,0.0622924961482
7929,laurence_templeton,0.0621993510201
2735,e_phillips_edward_phillips_oppenheim,0.0621840886144
2604,dostoevsky,0.0620179802965
836,anthony_partridge,0.0618792060087
7465,joseph_a_joseph_alexander_altsheler,0.0613983858982
6574,james_otis,0.0612522421899
3541,ernst_haeckel,0.0611474502163
7147,john_kendrick_bangs,0.0608757300026
4494,george_borrow,0.0608150261303
3730,f_w_frederick_w_marryat,0.0607292800583
11594,viscount_morley,0.0606977081176
7563,joseph_rudyard_kipling,0.0606004337431
10835,sir_walter_scott,0.0605477710346
1307,berthold_auerbach,0.0604855952539
2731,e_p_edward_payson_roe,0.0602625171668
10638,samuel_smiles,0.0602014873013
3205,eliza_edgeworth,0.060037246035
4911,goold_brown,0.0600146438446
501,algernon_blackwood,0.0599585730261
3878,frances_burney,0.0593049074063
7227,john_mcelroy,0.0592615799557
10183,robert_barr,0.0591566595605
10652,samuel_white_baker,0.0590045788258
11159,thomas_babington_macaulay_macaulay,0.0589307759568
7783,kathleen_thompson_norris,0.0588476477085
214,administration_united_states_work_projects_administration,0.0587409392904
7066,john_griffith_chaney,0.058690578291
4425,gaston_camille_charles_masper,0.0585065008366
6416,james_de_mille,0.0584968099499
8799,mary_mackay,0.058463430229
2082,christian_matthias_theodor_mommsen,0.0583413112266
8786,mary_johnston,0.0580605718696
4884,giorgio_vasari,0.0579546636165
659,anatole_france,0.0577956283617
9846,r_d_richard_doddridge_blackmore,0.0576988874305
8153,louis_antoine_fauvelet_de_bourrienne,0.0567297098532
6058,j_a_joseph_alexander_altsheler,0.0566339666586
5024,h_a_hippolyte_adolphe_taine,0.0564174084341
7566,joseph_sheridan_le_fanu,0.0560751354041
3723,f_s_frederick_sadleir_brereton,0.0556728203666
4434,gene_strattonporter,0.0556502379334
1348,bob_ingersoll,0.0554951244747
11935,washington_irving,0.0554249865587
8906,maurice_leblanc,0.0554174294452
